Country,2020,2021,2022,2023,2024,2025
Afghanistan,20136,14278,14501,17248,,
Albania,15271,18086,19185,23388,27259,28372
Algeria,164774,185850,225709,247789,264913,268885
Andorra,2885,3325,3376,3786,4038,4035
Angola,66521,84375,142442,109764,115946,113343
Antigua and Barbuda,1412,1602,1867,2006,2225,2373
Argentina,385218,486040,632318,645511,632145,683533
Armenia,12642,13879,19514,24086,25533,26258
Aruba,2486,2929,3279,3649,3952,4100
Australia,1362613,1655843,1725461,1742461,1796805,1771681
Austria,434050,480786,472339,512509,521269,534301
Azerbaijan,42693,54825,78807,72428,74316,78870
Bahamas,9958,11369,13136,14338,14761,15178
Bahrain,35838,40840,46458,46192,46943,47829
Bangladesh,373902,416265,460201,451534,451096,467218
Barbados,5168,5275,6257,6721,7167,7552
Belarus,61312,68207,73735,71792,71180,71561
Belgium,529269,598892,593906,644968,664965,684864
Belize,2043,2421,2847,3067,3427,3611
Benin,15674,17699,17439,19679,21249,22236
Bhutan,2586,2623,2869,2923,3092,3422
Bolivia,36897,40701,44329,45464,48404,56339
Bosnia and Herzegovina,20226,23673,24535,27592,28795,28807
Botswana,14930,18750,20321,19411,19356,19400
Brazil,1476092,1670650,1951849,2191137,2171337,2125958
Brunei,12006,14006,16682,15095,15463,16007
Bulgaria,70658,84477,90719,102434,112232,117007
Burkina Faso,17837,19747,19588,21181,23975,27056
Burundi,3089,3356,3922,4246,4743,6745
Cape Verde,1831,2053,2309,2588,2726,2786
Cambodia,34898,36797,39838,43304,47328,49799
Cameroon,40863,45036,44442,49283,52784,56011
Canada,1655685,2022382,2190411,2173340,2241253,2225341
Central African Republic,2389,2585,2460,2602,2831,2932
Chad,14954,16881,17867,18343,19078,18792
Chile,254060,315411,301270,335627,330210,343823
China,15103357,18190803,18307816,18270351,18748009,19231705
Colombia,270348,318525,345632,366292,418542,427766
Comoros,1218,1273,1223,1335,1456,1548
Congo,49613,55327,63324,64402,71011,79119
Republic of the Congo,11485,13387,13967,14169,14893,15281
Costa Rica,62382,64954,69235,86509,95365,102591
Ivory Coast,63119,72833,71075,79630,87096,94483
Croatia,57919,69055,71260,84416,92506,98951
Cyprus,25535,30393,31001,33897,36156,38736
Czech Republic,251110,290973,301831,343207,344931,360244
Denmark,355631,408378,401946,407092,429458,449940
Djibouti,3144,3393,3563,3917,4257,4587
Dominica,504,555,607,654,697,742
Dominican Republic,78625,95067,113813,120794,124613,127828
Ecuador,95865,107179,116133,121147,121728,125677
Egypt,382525,423300,475231,393828,383109,347342
El Salvador,24921,29043,31989,34016,35337,36749
Equatorial Guinea,9908,12222,13717,12339,12544,12684
Eritrea,1982,,,,,
Estonia,31795,37229,38406,41303,42752,45004
Eswatini,3984,4851,4791,4858,5199,5483
Ethiopia,96611,99261,118958,159761,143123,117457
Fiji,4432,4305,4970,5442,5949,6257
Finland,269784,294419,280474,295036,298833,303945
France,2645806,2968405,2797049,3056880,3162023,3211292
Gabon,15364,19455,20485,20059,20774,20391
Gambia,1809,2045,2135,2345,2558,2771
Georgia,16013,18849,24985,30778,33775,35353
Germany,3936989,4351188,4166872,4527009,4658526,4744804
Ghana,70008,79514,73919,80547,82825,88332
Greece,191210,218449,219053,243569,257067,267348
Grenada,1043,1123,1231,1325,1392,1464
Guatemala,77718,86467,95631,104436,112575,121177
Guinea,14089,16320,19589,22750,25758,30094
Guinea-Bissau,1523,1722,1721,2005,2184,2274
Guyana,5471,8041,14718,16919,24659,25822
Haiti,14508,21017,19826,19603,26229,33548
Honduras,23190,27950,31233,34229,36965,38172
Hong Kong,344941,368954,358680,381066,407107,423999
Hungary,158468,183283,178321,214098,223060,237070
Iceland,21630,25770,28696,31452,33463,35309
India,2674852,3167271,3346107,3638490,3909097,4187017
Indonesia,1059055,1186510,1319101,1371169,1396300,1429743
Iran,195528,289294,376254,372820,401357,341013
Iraq,182576,210753,288059,270799,277478,258020
Ireland,436205,531660,549003,551554,577216,598840
Israel,410771,489854,525183,512185,540381,583361
Italy,1905956,2180656,2105722,2305271,2372059,2422855
Jamaica,13885,14674,17003,19315,20069,21411
Japan,5054069,5039148,4262146,4213167,4026211,4186431
Jordan,43762,46362,48722,51161,53428,56102
Kazakhstan,171082,197112,225496,261840,284810,300538
Kenya,100912,109875,114733,108747,120899,131673
Kiribati,222,285,271,289,308,312
South Korea,1744456,1942314,1799363,1839058,1869714,1790322
Kosovo,7728,9418,9375,10470,11151,11274
Kuwait,111048,148455,183977,163716,158568,153101
Kyrgyzstan,8283,9256,12269,15187,17491,19849
Laos,18511,18533,15121,14978,15879,16322
Latvia,33353,38209,38045,42584,43508,45535
Lebanon,24976,19782,24748,23607,28280,
Lesotho,2092,2445,2275,2213,2309,2404
Liberia,3037,3509,3974,4390,4818,5166
Libya,46893,35216,43281,43958,42159,47484
Lithuania,57352,67068,71082,79824,84847,89192
Luxembourg,73612,86444,80865,87599,93169,96613
Macau,25344,30969,24998,45802,50182,53354
Madagascar,13051,14355,15326,15870,17420,18708
Malawi,11847,12475,12531,13439,11797,13959
Malaysia,337456,373785,407605,399705,419617,444984
Maldives,3706,5242,6168,6581,7019,7480
Mali,17491,19320,19319,21184,22724,23208
Malta,16397,19737,19254,22217,24315,25750
Marshall Islands,242,259,253,259,280,297
Mauritania,8464,9126,9564,10649,10697,11470
Mauritius,11408,11484,12908,14101,14953,15495
Mexico,1121065,1316569,1466465,1793799,1852723,1692640
Federated States of Micronesia,373,392,416,444,471,500
Moldova,11530,13694,14493,16751,18126,19462
Mongolia,13313,15286,17146,20315,23586,25804
Montenegro,4777,5865,6243,7532,8023,8562
Morocco,121354,142022,130952,144438,155350,165835
Mozambique,14235,16168,18884,20954,21944,23771
Myanmar,65631,58264,61723,61466,61176,64944
Namibia,10583,12399,12564,12402,13370,14214
Nauru,125,176,152,152,161,169
Nepal,33434,36927,41183,40907,43419,46080
Netherlands,931814,1055173,1047364,1154694,1227174,1272011
New Zealand,210541,249775,245203,253436,257728,248666
Nicaragua,12730,14208,15634,17820,19710,21155
Niger,13764,14923,15458,16809,19866,21874
Nigeria,432299,441074,476468,363816,187640,188271
North Macedonia,12385,14008,13957,15772,16679,17885
Norway,367633,503368,596298,482950,483727,504276
Oman,75909,87324,109853,105896,106943,104351
Pakistan,300410,348481,374850,337754,373078,
Palau,259,236,248,275,306,333
Panama,57087,67407,76523,83382,87688,91675
Papua New Guinea,23848,26113,31653,30729,31654,32835
Paraguay,35432,39951,41953,43118,43989,45465
Peru,206461,226268,244419,267482,289070,303293
Philippines,361751,394087,404353,437055,461617,497495
Poland,605930,689253,695734,809706,908583,979960
Portugal,229435,256226,257101,289781,308590,321440
Puerto Rico,103131,106427,113567,117902,120978,122522
Qatar,144411,179732,235709,213003,221452,222776
Romania,252372,286783,296928,350847,384148,403395
Russia,1488118,1828927,2295527,2059762,2161205,2076396
Rwanda,10174,11066,13313,14331,14251,14771
Samoa,869,844,833,938,1068,1160
San Marino,1543,1857,1833,2003,2063,2047
São Tomé and Príncipe,476,529,546,684,796,864
Saudi Arabia,734271,874157,1108571,1067583,1085358,1083749
Senegal,24534,27584,27750,30625,32892,34728
Serbia,55874,65830,66798,81343,89074,92549
Seychelles,1384,1490,2018,2187,2168,2198
Sierra Leone,6682,7165,7119,6397,7653,8386
Singapore,349166,436591,509018,505440,547387,564774
Slovakia,107646,120672,116020,132947,140636,147031
Slovenia,53342,61570,59975,69168,72463,75224
Solomon Islands,1536,1523,1566,1661,1777,1898
Somalia,8628,9484,10203,10969,12134,12994
South Africa,337876,420778,406755,380592,400191,410338
South Sudan,5423,5940,8037,7186,5423,3998
Spain,1288751,1462216,1447636,1620558,1722227,1799511
Sri Lanka,84304,88609,74584,83723,98964,
Saint Kitts and Nevis,884,859,981,1056,1117,1129
Saint Lucia,1499,1867,2343,2430,2523,2632
Saint Vincent and the Grenadines,864,888,970,1071,1162,1242
Sudan,35237,35142,33517,36998,28270,31506
Suriname,2912,3084,3631,3445,4458,4506
Sweden,545148,637187,579896,585490,610118,620297
Switzerland,741288,814699,828522,894867,936738,947125
Syria,60043,,,,,
Taiwan,676861,776965,765624,757335,782441,804889
Tajikistan,8134,8934,10493,11854,13544,14836
Tanzania,63373,67964,74173,79138,80171,85977
Thailand,500462,506195,495645,515906,526411,546224
Timor-Leste,2163,3625,3209,2080,2015,2115
Togo,7400,8338,8144,9081,9776,10023
Tonga,503,520,515,512,539,568
Trinidad and Tobago,20991,24177,28510,25489,25524,26467
Tunisia,42494,46813,44596,48541,53063,56291
Turkey,717114,807893,905800,1130062,1322405,1437406
Turkmenistan,52385,60934,77963,77876,82515,89054
Tuvalu,52,62,61,63,65,65
Uganda,37889,42805,47276,51934,56453,64277
Ukraine,156566,199835,161987,178763,190426,205742
United Arab Emirates,349473,415179,502732,514130,537079,548598
United Kingdom,2698705,3144079,3125404,3371118,3644636,3839180
United States,21354125,23681175,26006900,27720725,29184900,30507217
Uruguay,53557,60742,70600,77997,80961,79731
Uzbekistan,66443,77340,90125,102634,114962,132484
Vanuatu,1008,921,1072,1158,1206,1267
Venezuela,42838,56615,89013,102377,119808,108511
Vietnam,346310,370076,411068,433008,459472,490970
Palestine,15532,18109,19166,17848,,
Yemen,20220,19394,23534,19412,19101,17401
Zambia,18138,22096,29164,27578,26326,28910
Zimbabwe,26878,36016,32613,35144,35224,38172
